complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x3944a,processed/A71EV2A-x3944a.bin,c3cc0eb42f31412ec5287d037fd6e5abb864c9a9580420df1cff8254683910b6,27,324,324,3888,27,702
A71EV2A-x3954a,processed/A71EV2A-x3954a.bin,969ad1f3af83193044467b33a40a1ac250644fd9d045b092a3ed640e22831813,22,264,264,3168,22,462
A71EV2A-x3956a,processed/A71EV2A-x3956a.bin,6db37f16ddd9f62f74d6d4b02f631c229b1d5fd6ef8ee67abc33e2500d422366,19,228,228,2736,19,342
A71EV2A-x3968a,processed/A71EV2A-x3968a.bin,be7a9eca26c7e7c4998d6536f18936e9f45de7e4c52f283a8edf8b0c41634c24,25,300,300,3600,25,600
A71EV2A-x3975a,processed/A71EV2A-x3975a.bin,8b4b8b5ab0a94163af3c53aa86f52b4afc4fd09384f5d24d26f6abb1b5cceceb,24,288,288,3456,24,552
A71EV2A-x3977a,processed/A71EV2A-x3977a.bin,8efe09c93d3a369c91b0087bfe220c9907cdb86cbb36607d1c3c4de1943e4cf2,18,215,215,2574,18,306
A71EV2A-x3982a,processed/A71EV2A-x3982a.bin,3c199da64fe880c0f0c4793841316028baae6fd6440980b2e8e7bc07f2b1e3d0,24,288,288,3456,24,552
A71EV2A-x3986a,processed/A71EV2A-x3986a.bin,d4dbbabd8de86cb1e3172ff187ff0da7f3fdb73ecac8bab3175cc5e0c620bc0c,25,300,300,3600,25,600
A71EV2A-x3986b,processed/A71EV2A-x3986b.bin,4f12a74258b1cd4871d64c1d7311d463d61c44add5c730dd34d8539fbe05b29d,25,300,300,3600,25,600
A71EV2A-x3989a,processed/A71EV2A-x3989a.bin,50620019d96c37f92dde0e7b29896e49ea00fb51e72251d6f96bcd17b2056707,22,264,264,3168,22,462
A71EV2A-x3990a,processed/A71EV2A-x3990a.bin,0e3b6efd6783de9b1256e9734d45dbf890ae9c26a3fc53ded1dd0628e09be168,23,276,276,3312,23,506
A71EV2A-x3992a,processed/A71EV2A-x3992a.bin,14cf157476ef76227f10d1459629263517b5b12295c9b0720600b5816dc47501,20,240,240,2880,20,380
A71EV2A-x3992b,processed/A71EV2A-x3992b.bin,4148f748e061ae3e8681ce623ae108cd849ce0dda23642d1ed42e622c4a7cf64,20,240,240,2880,20,380
A71EV2A-x3993a,processed/A71EV2A-x3993a.bin,a055f04040591b0818346fb17207dca4e12d005a399235c38518de8b1947078c,27,324,324,3888,27,702
A71EV2A-x3993b,processed/A71EV2A-x3993b.bin,b58074b70122130bb680a263db8e4ba286ba6796af072e8de910ec1f7c716a22,27,324,324,3888,27,702
A71EV2A-x4018a,processed/A71EV2A-x4018a.bin,99a63f3ef827a2c3c729d88ba86fb9e967cb06b25b55de38a752139d66105596,21,252,252,3024,21,420
A71EV2A-x4018b,processed/A71EV2A-x4018b.bin,5f42417f42b8e88bac720af4adbe46bbc751fdbfdd71ce44010d6bf6758a4dab,21,252,252,3024,21,420
A71EV2A-x4020a,processed/A71EV2A-x4020a.bin,464e5fa5fba10e7cc81c1d53e8e9d1660d09d42221703c1ff745f35cfdf30f12,19,228,228,2736,19,342
A71EV2A-x4020b,processed/A71EV2A-x4020b.bin,7ee0bae89cfa81cf57f8a6d6004cb346e91ad482fc8d63c13ea7bf557d60aaac,19,228,228,2736,19,342
A71EV2A-x4028a,processed/A71EV2A-x4028a.bin,13ae7dc4c39d74820db41e4d3da9d7dcb18e882087526f6d728c7db6cf103de3,24,288,288,3456,24,552
A71EV2A-x4029a,processed/A71EV2A-x4029a.bin,72fe3f55274892398c432671be960f1c3b9d1fef3bfa55c8cdab7a95a4562afc,19,228,228,2736,19,342
A71EV2A-x4031a,processed/A71EV2A-x4031a.bin,d95aee4438a855d04ec639b7560ce6603ae76f22707c2c653534a84e334f107b,20,240,240,2880,20,380
A71EV2A-x4031b,processed/A71EV2A-x4031b.bin,1d6685b921f6cc9036e301249eb730807e0367b465f2a69795cda6e8f90ca785,20,240,240,2880,20,380
A71EV2A-x4032a,processed/A71EV2A-x4032a.bin,a5206b050cd2c993bf95ed05129647eeb316c5a37100d4c434ca2759459db867,20,239,239,2862,20,380
